Sample,Probe target,Height,Area,Final.ratio,Stdev,symbol
179L,X-063.326842,224,2391,0.59,1,AMER1-2
179L,X-063.342134,537,3730,0.53,0.19,AMER1-1
179L,02-061.126370,1905,23163,1.26,0.4,References PEX13
179L,02-189.557818,1885,15339,1,0.3,References COL3A1
179L,04-001.902193,984,11824,0.79,1,References WHSC1
179L,04-187.390323,2665,21124,1.52,0.46,References KLKB1
179L,05-132.037607,2010,14667,1.2,0.38,References IL4
179L,06-065.588251,2228,20735,1.43,0.45,References EYS
179L,06-108.321498,1342,15623,0.99,0.3,References SEC63
179L,11-095.238425,1491,12689,1.18,0.38,References MTMR2
179L,14-022.972596,834,6247,0.51,0.16,References MYH7
179L,15-042.653071,767,8513,0.66,0.21,References SPG11
179L,16-080.537323,854,8829,0.62,0.19,References PLCG2
179L,21-037.919589,940,7306,0.69,0.24,References KCNJ6
179M,01-001.274237,1792,14058,1.17,0.27,DVL1-1
179M,01-003.150503,923,11175,0.78,0.18,PRDM16-3
179M,01-006.150830,897,11000,0.85,0.25,CHD5-2
179M,01-007.727575,1920,18917,0.99,0.17,CAMTA1-18
179M,01-010.214967,2566,19461,1.15,0.22,KIF1B-2
179M,03-010.158544,2321,22268,1.12,0.25,VHL-1
179M,03-010.163233,2006,21369,1.16,0.2,VHL-2
179M,03-059.972109,2045,18861,1.33,0.26,FHIT-7
179M,03-060.782680,1635,15919,0.94,0.19,FHIT-4
179M,05-112.182873,1472,12962,1.04,0.17,APC-12
179M,05-112.206814,1191,13629,1.07,1,APC-18
179M,09-021.958641,2765,28639,1.22,0.24,CDKN2A-4
179M,09-021.961213,2135,15994,1.09,0.18,CDKN2A-3
179M,09-021.998809,1522,18132,0.9,1,CDKN2B-1
179M,09-097.258441,2016,17168,0.87,0.14,PTCH1-20
179M,09-097.284232,1708,15872,1.12,0.18,PTCH1-5
179M,09-134.767854,3220,29890,1.16,1,TSC1-18
179M,09-134.809748,2530,23035,1.1,0.22,TSC1-1
179M,10-089.680713,1857,19371,1.12,0.2,PTEN-4
179M,10-089.682864,2419,25534,1.17,0.2,PTEN-5
179M,10-089.710865,1991,22117,1.23,0.26,PTEN-8
179M,11-032.366613,1536,18350,0.92,0.22,WT1-11
179M,11-032.413841,1263,11240,0.66,0.14,WT1-1
179M,13-031.791351,2663,20215,1.23,0.22,BRCA2-3
179M,13-031.803112,3096,26329,1.17,0.21,BRCA2-9
179M,13-047.814761,2330,28466,1.22,0.2,RB1-3
179M,13-047.948892,3248,32231,1.24,0.21,RB1-25
179M,13-049.521254,3860,29187,1.06,0.18,MIR15A-1
179M,13-049.576833,3674,27404,1.56,0.32,DLEU1-2
179M,16-002.038612,2266,16810,1.36,0.24,TSC2-1
179M,16-002.067648,1021,11053,0.89,0.16,TSC2-25
179M,16-002.076651,1419,13032,0.84,0.16,TSC2-38
179M,17-007.514677,1449,17656,1.01,1,TP53-10
179M,17-007.519217,2812,26607,1.21,0.21,TP53-4b
179M,17-007.531504,3119,29937,1.28,0.23,TP53-1
179M,17-026.577746,1454,16852,1.05,0.17,NF1-18
179M,17-026.681489,3009,25212,1.21,0.19,NF1-39
179M,17-038.450829,1968,22273,1.02,0.17,BRCA1-24
179M,17-038.479889,2609,26947,0.98,0.16,BRCA1-15
179M,17-038.510430,1699,14491,1.04,0.19,BRCA1-6
179M,18-046.829678,2344,23658,1.12,0.19,SMAD4-4
179M,18-046.858705,1839,22271,0.99,1,SMAD4-12
179M,19-001.157954,2378,18739,1.27,0.23,STK11-1
179M,19-001.170331,1689,14520,1.19,0.22,STK11-3
179M,19-018.503959,1812,16914,1.11,0.21,FKBP8-9
179M,19-018.511130,2239,18624,1.29,0.25,FKBP8-4
179M,22-022.459352,2041,20459,1.17,0.24,SMARCB1-1
179M,22-022.506421,1898,14961,1.11,0.18,SMARCB1-9
179M,X-063.326842,432,4522,0.8,1,AMER1-2
179M,X-063.342134,1291,9427,0.96,0.25,AMER1-1
179M,02-061.126370,2175,27354,1.1,0.22,References PEX13
179M,02-189.557818,2591,21060,0.99,0.16,References COL3A1
179M,04-001.902193,1504,18290,0.88,1,References WHSC1
179M,04-187.390323,2781,20910,1.07,0.18,References KLKB1
179M,05-132.037607,3164,23620,1.36,0.28,References IL4
179M,06-065.588251,1739,18044,0.9,0.16,References EYS
179M,06-108.321498,2463,28699,1.34,0.22,References SEC63
179M,11-095.238425,1610,13905,0.93,0.17,References MTMR2
179M,14-022.972596,1854,14283,0.84,0.15,References MYH7
179M,15-042.653071,1773,20307,1.16,0.23,References SPG11
179M,16-080.537323,1633,17964,0.92,0.15,References PLCG2
179M,21-037.919589,2038,15778,1.04,0.25,References KCNJ6
421A,01-001.274237,2083,15204,0.89,0.16,DVL1-1
421A,01-003.150503,1703,18581,0.94,0.17,PRDM16-3
421A,01-006.150830,1676,19718,1.09,0.26,CHD5-2
421A,01-007.727575,2968,27658,1.03,0.09,CAMTA1-18
421A,01-010.214967,3625,26358,1.1,0.12,KIF1B-2
421A,03-010.158544,2846,23733,0.84,0.15,VHL-1
421A,03-010.163233,2745,26930,1.04,0.09,VHL-2
421A,03-059.972109,2551,21413,1.07,0.14,FHIT-7
421A,03-060.782680,2730,24271,1.02,0.15,FHIT-4
421A,05-112.182873,2187,18399,1.04,0.09,APC-12
421A,05-112.206814,1806,19171,1.07,1,APC-18
421A,09-021.958641,4181,34762,1.04,0.13,CDKN2A-4
421A,09-021.961213,2978,21231,1.01,0.08,CDKN2A-3
421A,09-021.998809,2301,24614,0.87,1,CDKN2B-1
421A,09-097.258441,3511,27000,0.96,0.08,PTCH1-20
421A,09-097.284232,2381,19351,0.97,0.09,PTCH1-5
421A,09-134.767854,4082,35075,0.96,1,TSC1-18
421A,09-134.809748,3389,27530,0.93,0.12,TSC1-1
421A,10-089.680713,2540,23873,0.98,0.11,PTEN-4
421A,10-089.682864,3124,30327,0.99,0.1,PTEN-5
421A,10-089.710865,2761,28717,1.14,0.17,PTEN-8
421A,11-032.366613,2935,32877,1.18,0.2,WT1-11
421A,11-032.413841,2705,22026,0.92,0.14,WT1-1
421A,13-031.791351,3237,23945,1.02,0.11,BRCA2-3
421A,13-031.803112,4212,33989,1.07,0.12,BRCA2-9
421A,13-047.814761,2927,33057,1.01,0.08,RB1-3
421A,13-047.948892,4164,38485,1.05,0.09,RB1-25
421A,13-049.521254,5228,39805,1.02,0.08,MIR15A-1
421A,13-049.576833,4019,28770,1.15,0.15,DLEU1-2
421A,16-002.038612,2485,17957,1.02,0.1,TSC2-1
421A,16-002.067648,1625,15520,0.89,0.11,TSC2-25
421A,16-002.076651,2429,18827,0.85,0.12,TSC2-38
421A,17-007.514677,2001,22727,0.93,1,TP53-10
421A,17-007.519217,3794,31750,1.02,0.09,TP53-4b
421A,17-007.531504,3336,28571,0.87,0.11,TP53-1
421A,17-026.577746,2075,22264,0.99,0.07,NF1-18
421A,17-026.681489,3896,29182,0.99,0.08,NF1-39
421A,17-038.450829,2979,30822,1,0.08,BRCA1-24
421A,17-038.479889,3922,36087,0.93,0.09,BRCA1-15
421A,17-038.510430,2671,20180,1.03,0.11,BRCA1-6
421A,18-046.829678,3176,28126,0.95,0.1,SMAD4-4
421A,18-046.858705,2716,30868,0.98,1,SMAD4-12
421A,19-001.157954,2562,19223,0.92,0.11,STK11-1
421A,19-001.170331,2113,16696,0.96,0.11,STK11-3
421A,19-018.503959,2366,19980,0.93,0.11,FKBP8-9
421A,19-018.511130,2644,20165,0.98,0.12,FKBP8-4
421A,22-022.459352,2491,20995,0.86,0.13,SMARCB1-1
421A,22-022.506421,2535,18295,0.96,0.08,SMARCB1-9
421A,X-063.326842,782,7905,0.99,1,AMER1-2
421A,X-063.342134,2095,15118,1.08,0.22,AMER1-1
421A,02-061.126370,3133,36958,1.07,0.13,References PEX13
421A,02-189.557818,3980,30374,1,0.08,References COL3A1
421A,04-001.902193,2405,27794,0.95,1,References WHSC1
421A,04-187.390323,3741,27761,1,0.08,References KLKB1
421A,05-132.037607,4345,28498,1.15,0.15,References IL4
421A,06-065.588251,3046,26514,0.94,0.11,References EYS
421A,06-108.321498,2747,30293,1.01,0.08,References SEC63
421A,11-095.238425,2358,19002,0.9,0.12,References MTMR2
421A,14-022.972596,3360,24901,1.03,0.1,References MYH7
421A,15-042.653071,2436,25168,1.03,0.14,References SPG11
421A,16-080.537323,2713,26363,0.96,0.09,References PLCG2
421A,21-037.919589,2877,22729,1.04,0.21,References KCNJ6
421C,01-001.274237,1816,13185,1.03,0.19,DVL1-1
421C,01-003.150503,1075,11255,1.07,0.2,PRDM16-3
421C,01-006.150830,1070,12102,1.29,0.31,CHD5-2
421C,01-007.727575,1868,16441,1.07,0.13,CAMTA1-18
421C,01-010.214967,2570,17931,1.04,0.17,KIF1B-2
421C,03-010.158544,2471,19788,1.09,0.21,VHL-1
421C,03-010.163233,2060,19711,1.34,0.17,VHL-2
421C,03-059.972109,1846,14761,1.18,0.21,FHIT-7
421C,03-060.782680,1806,15331,1.09,0.21,FHIT-4
421C,05-112.182873,1293,10270,0.93,0.12,APC-12
421C,05-112.206814,942,9754,1.04,1,APC-18
421C,09-021.958641,2721,22469,0.99,0.14,CDKN2A-4
421C,09-021.961213,2201,15475,1.02,0.12,CDKN2A-3
421C,09-021.998809,1434,14919,0.97,1,CDKN2B-1
421C,09-097.258441,2392,18117,0.94,0.11,PTCH1-20
421C,09-097.284232,1626,13240,1.07,0.15,PTCH1-5
421C,09-134.767854,2567,20864,0.97,1,TSC1-18
421C,09-134.809748,2312,18801,0.97,0.14,TSC1-1
421C,10-089.680713,1338,12337,0.87,0.14,PTEN-4
421C,10-089.682864,1666,15319,0.87,0.13,PTEN-5
421C,10-089.710865,1316,12958,0.93,0.18,PTEN-8
421C,11-032.366613,1561,17025,1.17,0.22,WT1-11
421C,11-032.413841,1877,15552,0.98,0.16,WT1-1
421C,13-031.791351,1736,12713,0.78,0.12,BRCA2-3
421C,13-031.803112,2202,17524,0.84,0.13,BRCA2-9
421C,13-047.814761,1266,13608,0.81,0.1,RB1-3
421C,13-047.948892,1903,16954,0.83,0.11,RB1-25
421C,13-049.521254,3022,21873,0.78,0.1,MIR15A-1
421C,13-049.576833,2187,15125,0.84,0.15,DLEU1-2
421C,16-002.038612,1821,12979,1,0.13,TSC2-1
421C,16-002.067648,1176,10927,1.07,0.15,TSC2-25
421C,16-002.076651,1953,15239,0.97,0.16,TSC2-38
421C,17-007.514677,969,10362,0.82,1,TP53-10
421C,17-007.519217,1949,15938,0.8,0.1,TP53-4b
421C,17-007.531504,1666,13801,0.68,0.1,TP53-1
421C,17-026.577746,1317,13797,1.12,0.14,NF1-18
421C,17-026.681489,2713,20014,1.03,0.13,NF1-39
421C,17-038.450829,1922,18920,1.08,0.13,BRCA1-24
421C,17-038.479889,2746,24005,1.02,0.14,BRCA1-15
421C,17-038.510430,2046,15294,1.14,0.18,BRCA1-6
421C,18-046.829678,2118,18022,1.03,0.16,SMAD4-4
421C,18-046.858705,1670,18061,1.08,1,SMAD4-12
421C,19-001.157954,1930,14096,0.97,0.13,STK11-1
421C,19-001.170331,1589,12512,1.07,0.14,STK11-3
421C,19-018.503959,1830,14492,1.03,0.14,FKBP8-9
421C,19-018.511130,2010,14962,1.09,0.15,FKBP8-4
421C,22-022.459352,1899,15404,1.02,0.17,SMARCB1-1
421C,22-022.506421,1967,14097,1.04,0.12,SMARCB1-9
421C,X-063.326842,425,4352,1.07,1,AMER1-2
421C,X-063.342134,1507,10722,1.02,0.21,AMER1-1
421C,02-061.126370,2106,23622,1.33,0.19,References PEX13
421C,02-189.557818,2743,20857,1.02,0.12,References COL3A1
421C,04-001.902193,1456,16012,1.05,1,References WHSC1
421C,04-187.390323,3063,22310,1.16,0.15,References KLKB1
421C,05-132.037607,2568,16607,0.9,0.15,References IL4
421C,06-065.588251,2206,18909,1.14,0.18,References EYS
421C,06-108.321498,1291,13771,0.85,0.11,References SEC63
421C,11-095.238425,1657,12974,0.96,0.14,References MTMR2
421C,14-022.972596,2359,16832,0.97,0.12,References MYH7
421C,15-042.653071,1424,14448,1.06,0.16,References SPG11
421C,16-080.537323,1383,12574,0.79,0.1,References PLCG2
421C,21-037.919589,1925,14339,0.89,0.21,References KCNJ6
421E,01-001.274237,1099,8156,0.6,0.21,DVL1-1
421E,01-003.150503,492,6933,0.46,0.16,PRDM16-3
421E,01-006.150830,610,8553,0.62,0.2,CHD5-2
421E,01-007.727575,1510,16239,0.79,0.23,CAMTA1-18
421E,01-010.214967,2997,22413,1.17,0.36,KIF1B-2
421E,03-010.158544,1282,11842,0.54,0.2,VHL-1
421E,03-010.163233,1453,16504,0.83,0.24,VHL-2
421E,03-059.972109,2202,20595,1.33,0.43,FHIT-7
421E,03-060.782680,2131,21616,1.19,0.41,FHIT-4
421E,05-112.182873,1587,14086,1.03,0.31,APC-12
421E,05-112.206814,1277,16320,1.27,1,APC-18
421E,09-021.958641,1883,18743,0.71,0.21,CDKN2A-4
421E,09-021.961213,1546,11669,0.7,0.21,CDKN2A-3
421E,09-021.998809,1278,17398,0.87,1,CDKN2B-1
421E,09-097.258441,1759,13992,0.63,0.2,PTCH1-20
421E,09-097.284232,2542,23966,1.55,0.51,PTCH1-5
421E,09-134.767854,2415,22627,0.85,1,TSC1-18
421E,09-134.809748,1779,16723,0.72,0.24,TSC1-1
421E,10-089.680713,2996,34305,1.84,0.62,PTEN-4
421E,10-089.682864,3522,41140,1.76,0.58,PTEN-5
421E,10-089.710865,3186,40438,2.1,0.67,PTEN-8
421E,11-032.366613,1790,24389,1.14,0.33,WT1-11
421E,11-032.413841,1005,9291,0.49,0.17,WT1-1
421E,13-031.791351,2335,17791,0.96,0.31,BRCA2-3
421E,13-031.803112,2378,20204,0.81,0.25,BRCA2-9
421E,13-047.814761,2283,31993,1.3,0.39,RB1-3
421E,13-047.948892,2805,30147,1.08,0.32,RB1-25
421E,13-049.521254,4456,34654,1.11,0.34,MIR15A-1
421E,13-049.576833,3160,24089,1.2,0.37,DLEU1-2
421E,16-002.038612,1567,11166,0.79,0.23,TSC2-1
421E,16-002.067648,631,6973,0.52,0.18,TSC2-25
421E,16-002.076651,1153,9408,0.54,0.2,TSC2-38
421E,17-007.514677,559,7671,0.44,1,TP53-10
421E,17-007.519217,1173,11285,0.46,0.14,TP53-4b
421E,17-007.531504,1787,17438,0.69,0.25,TP53-1
421E,17-026.577746,1406,18446,1.08,0.33,NF1-18
421E,17-026.681489,4036,33342,1.44,0.45,NF1-39
421E,17-038.450829,1821,22968,0.97,0.29,BRCA1-24
421E,17-038.479889,2555,26813,0.9,0.3,BRCA1-15
421E,17-038.510430,2833,22414,1.45,0.46,BRCA1-6
421E,18-046.829678,3436,36772,1.62,0.55,SMAD4-4
421E,18-046.858705,1757,23931,1.07,1,SMAD4-12
421E,19-001.157954,1252,9964,0.6,0.2,STK11-1
421E,19-001.170331,829,7416,0.54,0.17,STK11-3
421E,19-018.503959,998,9175,0.54,0.18,FKBP8-9
421E,19-018.511130,1262,10244,0.63,0.19,FKBP8-4
421E,22-022.459352,1381,13662,0.72,0.26,SMARCB1-1
421E,22-022.506421,1057,7984,0.53,0.17,SMARCB1-9
421E,X-063.326842,287,3692,0.65,1,AMER1-2
421E,X-063.342134,1171,8400,0.74,0.23,AMER1-1
421E,02-061.126370,2619,38834,1.48,0.43,References PEX13
421E,02-189.557818,3451,28883,1.21,0.37,References COL3A1
421E,04-001.902193,951,13610,0.66,1,References WHSC1
421E,04-187.390323,3802,30025,1.37,0.43,References KLKB1
421E,05-132.037607,2941,19306,0.96,0.27,References IL4
421E,06-065.588251,3020,31165,1.45,0.5,References EYS
421E,06-108.321498,1719,23275,1.02,0.31,References SEC63
421E,11-095.238425,2368,20788,1.27,0.43,References MTMR2
421E,14-022.972596,1274,9644,0.5,0.15,References MYH7
421E,15-042.653071,1115,14030,0.74,0.22,References SPG11
421E,16-080.537323,940,11089,0.53,0.16,References PLCG2
421E,21-037.919589,1473,11335,0.65,0.24,References KCNJ6
421F,01-001.274237,1678,12223,0.83,0.21,DVL1-1
421F,01-003.150503,855,10328,0.82,0.2,PRDM16-3
421F,01-006.150830,866,10978,0.97,0.23,CHD5-2
421F,01-007.727575,1788,17154,0.94,0.18,CAMTA1-18
421F,01-010.214967,3147,22616,1.13,0.24,KIF1B-2
421F,03-010.158544,1563,14370,0.68,0.19,VHL-1
421F,03-010.163233,1422,15220,0.87,0.17,VHL-2
421F,03-059.972109,1968,17195,1.17,0.28,FHIT-7
421F,03-060.782680,1866,17865,1.07,0.28,FHIT-4
421F,05-112.182873,1559,13064,1.01,0.2,APC-12
421F,05-112.206814,1117,13528,1.24,1,APC-18
421F,09-021.958641,2518,24663,0.93,0.18,CDKN2A-4
421F,09-021.961213,1940,13776,0.78,0.15,CDKN2A-3
421F,09-021.998809,1352,17523,1,1,CDKN2B-1
421F,09-097.258441,2448,19039,0.85,0.18,PTCH1-20
421F,09-097.284232,2248,19890,1.37,0.31,PTCH1-5
421F,09-134.767854,2865,25455,1.04,1,TSC1-18
421F,09-134.809748,2469,22161,0.98,0.22,TSC1-1
421F,10-089.680713,2711,28907,1.72,0.42,PTEN-4
421F,10-089.682864,2945,32152,1.55,0.36,PTEN-5
421F,10-089.710865,2420,28077,1.68,0.4,PTEN-8
421F,11-032.366613,1629,20755,1.18,0.23,WT1-11
421F,11-032.413841,1774,15111,0.82,0.19,WT1-1
421F,13-031.791351,2188,15989,0.84,0.19,BRCA2-3
421F,13-031.803112,2070,17342,0.71,0.15,BRCA2-9
421F,13-047.814761,1518,19000,0.94,0.18,RB1-3
421F,13-047.948892,2070,20570,0.84,0.16,RB1-25
421F,13-049.521254,4027,28943,0.89,0.18,MIR15A-1
421F,13-049.576833,2669,19519,0.93,0.2,DLEU1-2
421F,16-002.038612,1904,13233,0.88,0.17,TSC2-1
421F,16-002.067648,1015,10978,0.92,0.22,TSC2-25
421F,16-002.076651,1816,14823,0.82,0.22,TSC2-38
421F,17-007.514677,670,8519,0.59,1,TP53-10
421F,17-007.519217,1138,11658,0.5,0.1,TP53-4b
421F,17-007.531504,1777,16510,0.7,0.18,TP53-1
421F,17-026.577746,1495,17984,1.23,0.25,NF1-18
421F,17-026.681489,3622,29135,1.28,0.27,NF1-39
421F,17-038.450829,1930,23661,1.14,0.23,BRCA1-24
421F,17-038.479889,2892,28434,1.04,0.24,BRCA1-15
421F,17-038.510430,2393,18681,1.2,0.27,BRCA1-6
421F,18-046.829678,2876,28775,1.4,0.34,SMAD4-4
421F,18-046.858705,1751,22469,1.17,1,SMAD4-12
421F,19-001.157954,1696,13019,0.77,0.17,STK11-1
421F,19-001.170331,1281,10566,0.78,0.16,STK11-3
421F,19-018.503959,1319,11699,0.72,0.16,FKBP8-9
421F,19-018.511130,1664,13037,0.81,0.16,FKBP8-4
421F,22-022.459352,1733,16764,0.95,0.25,SMARCB1-1
421F,22-022.506421,1655,12017,0.77,0.16,SMARCB1-9
421F,X-063.326842,416,4749,1.01,1,AMER1-2
421F,X-063.342134,1631,12232,1,0.22,AMER1-1
421F,02-061.126370,2007,25714,1.2,0.22,References PEX13
421F,02-189.557818,3323,26443,1.11,0.22,References COL3A1
421F,04-001.902193,1218,15848,0.9,1,References WHSC1
421F,04-187.390323,4054,29968,1.34,0.29,References KLKB1
421F,05-132.037607,3453,22978,1.07,0.2,References IL4
421F,06-065.588251,2816,27515,1.41,0.35,References EYS
421F,06-108.321498,1311,15490,0.81,0.16,References SEC63
421F,11-095.238425,2107,17686,1.13,0.27,References MTMR2
421F,14-022.972596,2223,16270,0.81,0.15,References MYH7
421F,15-042.653071,1202,14466,0.89,0.17,References SPG11
421F,16-080.537323,1111,12759,0.68,0.14,References PLCG2
421F,21-037.919589,2088,15404,0.82,0.24,References KCNJ6
421G,01-001.274237,854,6364,0.56,0.17,DVL1-1
421G,01-003.150503,425,4676,0.36,0.11,PRDM16-3
421G,01-006.150830,496,5686,0.48,0.14,CHD5-2
421G,01-007.727575,1309,12134,0.69,0.17,CAMTA1-18
421G,01-010.214967,2596,19492,1.22,0.33,KIF1B-2
421G,03-010.158544,1287,10551,0.57,0.19,VHL-1
421G,03-010.163233,1324,12663,0.75,0.19,VHL-2
421G,03-059.972109,2087,17754,1.36,0.39,FHIT-7
421G,03-060.782680,2216,19819,1.28,0.39,FHIT-4
421G,05-112.182873,1223,10160,0.88,0.23,APC-12
421G,05-112.206814,1162,12436,1.14,1,APC-18
421G,09-021.958641,1764,14860,0.67,0.17,CDKN2A-4
421G,09-021.961213,1334,9645,0.69,0.18,CDKN2A-3
421G,09-021.998809,1041,11370,0.67,1,CDKN2B-1
421G,09-097.258441,1511,11561,0.62,0.17,PTCH1-20
421G,09-097.284232,2251,19102,1.47,0.41,PTCH1-5
421G,09-134.767854,2020,17036,0.77,1,TSC1-18
421G,09-134.809748,1448,12339,0.63,0.18,TSC1-1
421G,10-089.680713,2734,26141,1.66,0.48,PTEN-4
421G,10-089.682864,3154,30143,1.52,0.43,PTEN-5
421G,10-089.710865,2295,24556,1.49,0.43,PTEN-8
421G,11-032.366613,1286,14042,0.76,0.2,WT1-11
421G,11-032.413841,937,7627,0.48,0.14,WT1-1
421G,13-031.791351,2603,19301,1.25,0.35,BRCA2-3
421G,13-031.803112,2936,23521,1.12,0.31,BRCA2-9
421G,13-047.814761,2622,30352,1.43,0.37,RB1-3
421G,13-047.948892,2924,26900,1.13,0.28,RB1-25
421G,13-049.521254,5143,40146,1.55,0.41,MIR15A-1
421G,13-049.576833,3017,22276,1.34,0.36,DLEU1-2
421G,16-002.038612,1106,7918,0.67,0.17,TSC2-1
421G,16-002.067648,647,6140,0.54,0.16,TSC2-25
421G,16-002.076651,881,6879,0.47,0.15,TSC2-38
421G,17-007.514677,783,8737,0.59,1,TP53-10
421G,17-007.519217,1483,12431,0.61,0.15,TP53-4b
421G,17-007.531504,1649,14551,0.68,0.21,TP53-1
421G,17-026.577746,1522,16296,1.12,0.29,NF1-18
421G,17-026.681489,3715,28645,1.48,0.4,NF1-39
421G,17-038.450829,1719,17657,0.88,0.23,BRCA1-24
421G,17-038.479889,2353,21565,0.85,0.25,BRCA1-15
421G,17-038.510430,2326,17975,1.39,0.39,BRCA1-6
421G,18-046.829678,3437,30899,1.6,0.47,SMAD4-4
421G,18-046.858705,1713,19020,1,1,SMAD4-12
421G,19-001.157954,1024,7821,0.57,0.16,STK11-1
421G,19-001.170331,850,6508,0.57,0.15,STK11-3
421G,19-018.503959,879,6356,0.45,0.13,FKBP8-9
421G,19-018.511130,1048,8107,0.6,0.16,FKBP8-4
421G,22-022.459352,1122,9674,0.61,0.19,SMARCB1-1
421G,22-022.506421,845,6391,0.51,0.14,SMARCB1-9
421G,X-063.326842,293,3060,0.64,1,AMER1-2
421G,X-063.342134,726,5287,0.56,0.16,AMER1-1
421G,02-061.126370,2548,30691,1.35,0.34,References PEX13
421G,02-189.557818,3018,24391,1.22,0.32,References COL3A1
421G,04-001.902193,816,9212,0.52,1,References WHSC1
421G,04-187.390323,2774,21069,1.15,0.31,References KLKB1
421G,05-132.037607,2245,15238,0.92,0.23,References IL4
421G,06-065.588251,2517,22685,1.25,0.37,References EYS
421G,06-108.321498,2100,23327,1.19,0.31,References SEC63
421G,11-095.238425,2069,17102,1.24,0.36,References MTMR2
421G,14-022.972596,986,7111,0.44,0.11,References MYH7
421G,15-042.653071,1048,11176,0.69,0.18,References SPG11
421G,16-080.537323,1117,10995,0.62,0.16,References PLCG2
421G,21-037.919589,1249,9117,0.64,0.21,References KCNJ6
421H,01-001.274237,1167,9059,0.79,0.17,DVL1-1
421H,01-003.150503,672,9872,0.79,0.17,PRDM16-3
421H,01-006.150830,757,11973,1.05,0.27,CHD5-2
421H,01-007.727575,1309,15211,0.89,0.12,CAMTA1-18
421H,01-010.214967,2276,17259,1.07,0.17,KIF1B-2
421H,03-010.158544,1572,14622,0.8,0.18,VHL-1
421H,03-010.163233,1431,17479,1.06,0.15,VHL-2
421H,03-059.972109,1535,14861,1.14,0.2,FHIT-7
421H,03-060.782680,1683,18364,1.2,0.23,FHIT-4
421H,05-112.182873,1213,12095,1.05,0.15,APC-12
421H,05-112.206814,787,10886,0.98,1,APC-18
421H,09-021.958641,2082,20071,0.91,0.15,CDKN2A-4
421H,09-021.961213,1576,11975,0.85,0.12,CDKN2A-3
421H,09-021.998809,1100,14863,0.86,1,CDKN2B-1
421H,09-097.258441,1750,14857,0.8,0.11,PTCH1-20
421H,09-097.284232,1547,15412,1.19,0.18,PTCH1-5
421H,09-134.767854,2012,20491,0.89,1,TSC1-18
421H,09-134.809748,1617,15382,0.8,0.14,TSC1-1
421H,10-089.680713,1665,19178,1.23,0.21,PTEN-4
421H,10-089.682864,1934,23803,1.22,0.19,PTEN-5
421H,10-089.710865,1751,23304,1.45,0.27,PTEN-8
421H,11-032.366613,1381,20205,1.15,0.22,WT1-11
421H,11-032.413841,1277,12205,0.78,0.15,WT1-1
421H,13-031.791351,2002,16143,1.03,0.16,BRCA2-3
421H,13-031.803112,2684,24475,1.17,0.18,BRCA2-9
421H,13-047.814761,1591,23359,1.15,0.16,RB1-3
421H,13-047.948892,2026,24696,1.06,0.15,RB1-25
421H,13-049.521254,3552,28533,1.09,0.15,MIR15A-1
421H,13-049.576833,2673,21044,1.25,0.21,DLEU1-2
421H,16-002.038612,1361,10479,0.88,0.13,TSC2-1
421H,16-002.067648,791,9213,0.83,0.14,TSC2-25
421H,16-002.076651,1298,10618,0.72,0.14,TSC2-38
421H,17-007.514677,830,12179,0.82,1,TP53-10
421H,17-007.519217,1997,18961,0.93,0.13,TP53-4b
421H,17-007.531504,1809,18896,0.89,0.16,TP53-1
421H,17-026.577746,1077,14726,1.04,0.14,NF1-18
421H,17-026.681489,2803,23807,1.23,0.18,NF1-39
421H,17-038.450829,1751,21923,1.12,0.15,BRCA1-24
421H,17-038.479889,2536,27447,1.1,0.17,BRCA1-15
421H,17-038.510430,1817,15059,1.16,0.18,BRCA1-6
421H,18-046.829678,1996,22134,1.16,0.2,SMAD4-4
421H,18-046.858705,1411,19553,1.01,1,SMAD4-12
421H,19-001.157954,1259,10239,0.74,0.12,STK11-1
421H,19-001.170331,1018,9067,0.79,0.13,STK11-3
421H,19-018.503959,1187,11286,0.8,0.14,FKBP8-9
421H,19-018.511130,1527,12288,0.91,0.15,FKBP8-4
421H,22-022.459352,1279,13082,0.83,0.17,SMARCB1-1
421H,22-022.506421,1225,9402,0.74,0.11,SMARCB1-9
421H,X-063.326842,285,3884,0.8,1,AMER1-2
421H,X-063.342134,1199,9404,0.98,0.22,AMER1-1
421H,02-061.126370,1736,28515,1.32,0.21,References PEX13
421H,02-189.557818,2370,21058,1.05,0.15,References COL3A1
421H,04-001.902193,1049,15459,0.86,1,References WHSC1
421H,04-187.390323,2396,20227,1.1,0.16,References KLKB1
421H,05-132.037607,2654,18531,1.1,0.18,References IL4
421H,06-065.588251,1890,20152,1.12,0.19,References EYS
421H,06-108.321498,1076,15441,0.82,0.11,References SEC63
421H,11-095.238425,1599,15359,1.12,0.2,References MTMR2
421H,14-022.972596,1594,12458,0.77,0.11,References MYH7
421H,15-042.653071,1046,13856,0.89,0.15,References SPG11
421H,16-080.537323,1390,16857,0.96,0.14,References PLCG2
421H,21-037.919589,1756,13878,0.94,0.22,References KCNJ6
421L,01-001.274237,1299,10522,1.15,0.23,DVL1-1
421L,01-003.150503,488,7344,0.99,0.19,PRDM16-3
421L,01-006.150830,420,6584,1,0.24,CHD5-2
421L,01-007.727575,930,11663,1.07,0.13,CAMTA1-18
421L,01-010.214967,1907,15548,1.25,0.18,KIF1B-2
421L,03-010.158544,1227,11923,0.93,0.19,VHL-1
421L,03-010.163233,1118,14380,1.38,0.16,VHL-2
