Sample,,Probe target info,Height,Area,Intra ratio,Pre ratio,Final ratio,Stdev,RefPop,SamPop,d(nt),Width
167J,[13q (n=6)].[MIR15A-1],13-049.521254,4018,30006,0.68,0.85,0.69,0.16,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.11,50
167J,[13q (n=6)].[DLEU1-2],13-049.576833,2582,19253,0.68,0.84,0.69,0.17,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0.01,55
167J,[16p (n=3)].[TSC2-1],16-002.038612,2358,16793,0.84,1.04,0.85,0.21,Equal,Equal,0.01,46
167J,[16p (n=3)].[TSC2-25],16-002.067648,791,10383,0.58,0.75,0.59,0.16,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.05,52
167J,[16p (n=3)].[TSC2-38],16-002.076651,1208,10688,0.44,0.55,0.44,0.13,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.06,48
167J,[17p (n=3)].[TP53-10],17-007.514677,379,6984,0.31,0.4,0.31,1,Ambiguous,Ambiguous,0.08,65
167J,[17p (n=3)].[TP53-4b],17-007.519217,973,10177,0.31,0.39,0.31,0.07,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.17,43
167J,[17p (n=3)].[TP53-1],17-007.531504,1277,13909,0.4,0.52,0.41,0.12,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.18,55
167J,[17q (n=5)].[NF1-18],17-026.577746,1265,20361,0.91,1.2,0.92,0.22,Equal,Equal,0.06,63
167J,[17q (n=5)].[NF1-39],17-026.681489,4155,35687,1.11,1.41,1.14,0.27,Equal,Equal,-0.1,67
167J,[17q (n=5)].[BRCA1-24],17-038.450829,2124,30585,0.98,1.27,0.99,0.24,Equal,Equal,0.1,67
167J,[17q (n=5)].[BRCA1-15],17-038.479889,3226,36774,0.91,1.17,0.93,0.24,Equal,Equal,-0.15,48
167J,[17q (n=5)].[BRCA1-6],17-038.510430,3130,25829,1.19,1.49,1.21,0.3,Equal,Equal,-0.1,46
167J,[18q (n=2)].[SMAD4-4],18-046.829678,2993,35837,1.17,1.51,1.19,0.31,Equal,Equal,-0.08,56
167J,[18q (n=2)].[SMAD4-12],18-046.858705,1626,27306,0.92,1.2,0.93,1,Equal,Equal,0.04,71
167J,[19p (n=4)].[STK11-1],19-001.157954,1736,13776,0.6,0.75,0.61,0.16,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.11,48
167J,[19p (n=4)].[STK11-3],19-001.170331,1189,10389,0.55,0.69,0.56,0.14,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.03,61
167J,[19p (n=4)].[FKBP8-9],19-018.503959,1330,13010,0.56,0.71,0.57,0.15,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.06,51
167J,[19p (n=4)].[FKBP8-4],19-018.511130,1637,13556,0.61,0.76,0.62,0.16,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.02,48
167J,[22q (n=2)].[SMARCB1-1],22-022.459352,1286,14223,0.55,0.71,0.57,0.17,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.12,52
167J,[22q (n=2)].[SMARCB1-9],22-022.506421,1531,11981,0.56,0.7,0.57,0.14,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.06,47
167J,[Xq (n=2)].[AMER1-2],X-063.326842,326,5681,0.77,1.02,0.77,1,Equal,Equal,-0.06,55
167J,[Xq (n=2)].[AMER1-1],X-063.342134,1544,10577,0.66,0.81,0.66,0.2,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0,29
167J,[References (n=12)].[PEX13*],02-061.126370,1866,38717,1.16,1.54,1.16,0.29,Equal,Equal,0.08,90
167J,[References (n=12)].[COL3A1*],02-189.557818,4882,40369,1.22,1.53,1.24,0.29,Equal,Equal,-0.05,52
167J,[References (n=12)].[WHSC1*],04-001.902193,1170,20748,0.76,1,0.77,1,Equal,Equal,0.06,65
167J,[References (n=12)].[KLKB1*],04-187.390323,4941,38222,1.24,1.55,1.26,0.3,Equal,Equal,-0.06,53
167J,[References (n=12)].[IL4*],05-132.037607,4727,33336,1.17,1.44,1.18,0.29,Equal,Equal,-0.01,54
167J,[References (n=12)].[EYS*],06-065.588251,2885,33847,1.17,1.51,1.19,0.31,Equal,Equal,-0.07,61
167J,[References (n=12)].[SEC63*],06-108.321498,1513,25928,0.88,1.16,0.89,0.21,Equal,Equal,0.03,81
167J,[References (n=12)].[MTMR2*],11-095.238425,3038,28411,1.26,1.61,1.29,0.36,Equal,Equal,-0.02,50
167J,[References (n=12)].[MYH7*],14-022.972596,2011,15193,0.56,0.69,0.57,0.14,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.12,46
167J,[References (n=12)].[SPG11*],15-042.653071,973,15122,0.61,0.8,0.62,0.16,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0.07,56
167J,[References (n=12)].[PLCG2*],16-080.537323,1111,14799,0.53,0.68,0.54,0.13,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.02,61
167J,[References (n=12)].[KCNJ6*],21-037.919589,2496,19295,0.77,0.95,0.79,0.23,Equal,Equal,0.02,42
167L,[01p (n=5)].[DVL1-1],01-001.274237,685,5244,0.44,0.61,0.45,0.17,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.01,38
167L,[01p (n=5)].[PRDM16-3],01-003.150503,417,5079,0.41,0.61,0.43,0.16,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.03,63
167L,[01p (n=5)].[CHD5-2],01-006.150830,524,5880,0.53,0.79,0.54,0.2,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0.08,38
167L,[01p (n=5)].[CAMTA1-18],01-007.727575,929,8966,0.52,0.76,0.54,0.17,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.02,43
167L,[01p (n=5)].[KIF1B-2],01-010.214967,2244,16330,0.96,1.34,0.99,0.3,Equal,Equal,-0.05,48
167L,[03p (n=4)].[VHL-1],03-010.158544,666,5937,0.32,0.45,0.33,0.13,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.1,39
167L,[03p (n=4)].[VHL-2],03-010.163233,1106,11373,0.69,1.01,0.71,0.22,Equal,Equal,0.03,56
167L,[03p (n=4)].[FHIT-7],03-059.972109,1798,16038,1.21,1.72,1.24,0.39,Equal,Equal,-0.14,54
167L,[03p (n=4)].[FHIT-4],03-060.782680,1716,15952,1.04,1.5,1.06,0.35,Equal,Equal,-0.11,46
167L,[05q (n=2)].[APC-12],05-112.182873,1110,9626,0.82,1.18,0.84,0.26,Equal,Equal,-0.12,53
167L,[05q (n=2)].[APC-18],05-112.206814,1026,11520,1.09,1.6,1.09,1,Equal,Equal,0.17,47
167L,[09p (n=3)].[CDKN2A-4],09-021.958641,694,8670,0.38,0.53,0.39,0.12,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.04,59
167L,[09p (n=3)].[CDKN2A-3],09-021.961213,627,4473,0.3,0.42,0.31,0.1,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,-0.14,32
167L,[09p (n=3)].[CDKN2B-1],09-021.998809,390,4700,0.28,0.4,0.29,1,Ambiguous,Ambiguous,0.16,50
167L,[09q (n=4)].[PTCH1-20],09-097.258441,1332,10803,0.56,0.78,0.57,0.19,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.07,49
167L,[09q (n=4)].[PTCH1-5],09-097.284232,2688,24407,1.86,2.66,1.91,0.62,Increased1StdDevAboveArbitraryBorder,Ambiguous,-0.1,62
167L,[09q (n=4)].[TSC1-18],09-134.767854,2012,17728,0.77,1.1,0.8,1,Equal,Equal,-0.06,52
167L,[09q (n=4)].[TSC1-1],09-134.809748,1485,13677,0.69,0.98,0.71,0.25,Equal,Equal,-0.13,72
167L,[10q (n=3)].[PTEN-4],10-089.680713,2155,22240,1.43,2.06,1.46,0.48,Ambiguous,Ambiguous,-0.04,59
167L,[10q (n=3)].[PTEN-5],10-089.682864,2174,21474,1.11,1.6,1.13,0.36,Equal,Equal,-0.02,52
167L,[10q (n=3)].[PTEN-8],10-089.710865,1866,20472,1.3,1.9,1.31,0.41,Ambiguous,Ambiguous,0.06,60
167L,[11p (n=2)].[WT1-11],11-032.366613,1382,15837,0.93,1.38,0.94,0.3,Equal,Equal,0.08,69
167L,[11p (n=2)].[WT1-1],11-032.413841,628,5660,0.35,0.5,0.36,0.13,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.15,43
167L,[13q (n=6)].[BRCA2-3],13-031.791351,2471,17935,1.1,1.54,1.13,0.36,Equal,Equal,-0.15,49
167L,[13q (n=6)].[BRCA2-9],13-031.803112,2659,21607,1,1.41,1.03,0.32,Equal,Equal,-0.06,48
167L,[13q (n=6)].[RB1-3],13-047.814761,1223,14357,0.73,1.08,0.74,0.23,Equal,Equal,0.01,55
167L,[13q (n=6)].[RB1-25],13-047.948892,1295,12476,0.54,0.79,0.55,0.17,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,0.03,46
167L,[13q (n=6)].[MIR15A-1],13-049.521254,3021,22529,0.82,1.15,0.84,0.26,Equal,Equal,-0.14,50
167L,[13q (n=6)].[DLEU1-2],13-049.576833,1973,15057,0.85,1.17,0.87,0.27,Equal,Equal,-0.06,67
167L,[16p (n=3)].[TSC2-1],16-002.038612,1162,8360,0.67,0.93,0.68,0.22,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.04,39
167L,[16p (n=3)].[TSC2-25],16-002.067648,429,4326,0.39,0.56,0.4,0.14,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.06,41
167L,[16p (n=3)].[TSC2-38],16-002.076651,444,3727,0.25,0.34,0.25,0.09,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.08,29
167L,[17p (n=3)].[TP53-10],17-007.514677,254,2946,0.21,0.3,0.21,1,Ambiguous,Ambiguous,0.03,37
167L,[17p (n=3)].[TP53-4b],17-007.519217,535,5109,0.25,0.35,0.25,0.08,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,-0.12,59
167L,[17p (n=3)].[TP53-1],17-007.531504,788,7285,0.34,0.49,0.35,0.13,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.24,42
167L,[17q (n=5)].[NF1-18],17-026.577746,963,11309,0.81,1.19,0.83,0.26,Equal,Equal,0.08,72
167L,[17q (n=5)].[NF1-39],17-026.681489,3315,26565,1.33,1.88,1.36,0.43,Ambiguous,Ambiguous,-0.15,61
167L,[17q (n=5)].[BRCA1-24],17-038.450829,1699,18901,0.97,1.41,0.99,0.31,Equal,Equal,0.03,60
167L,[17q (n=5)].[BRCA1-15],17-038.479889,2121,20305,0.8,1.16,0.83,0.28,Equal,Equal,-0.16,45
167L,[17q (n=5)].[BRCA1-6],17-038.510430,2278,18180,1.34,1.88,1.38,0.44,Ambiguous,Ambiguous,-0.12,53
167L,[18q (n=2)].[SMAD4-4],18-046.829678,2660,25707,1.35,1.94,1.38,0.46,Ambiguous,Ambiguous,-0.1,53
167L,[18q (n=2)].[SMAD4-12],18-046.858705,1032,12206,0.65,0.96,0.67,1,Ambiguous,Ambiguous,0.09,56
167L,[19p (n=4)].[STK11-1],19-001.157954,885,7186,0.5,0.7,0.51,0.18,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.14,47
167L,[19p (n=4)].[STK11-3],19-001.170331,531,4307,0.37,0.51,0.37,0.12,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.13,33
167L,[19p (n=4)].[FKBP8-9],19-018.503959,626,5698,0.4,0.56,0.41,0.14,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.15,40
167L,[19p (n=4)].[FKBP8-4],19-018.511130,734,5710,0.41,0.58,0.42,0.14,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.09,32
167L,[22q (n=2)].[SMARCB1-1],22-022.459352,769,7195,0.45,0.64,0.47,0.18,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.19,36
167L,[22q (n=2)].[SMARCB1-9],22-022.506421,610,4680,0.35,0.49,0.36,0.12,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.04,25
167L,[Xq (n=2)].[AMER1-2],X-063.326842,0,0,0,0,0,0,<<<,<<<,0,0
167L,[Xq (n=2)].[AMER1-1],X-063.342134,520,3388,0.34,0.47,0.34,0.12,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.03,18
167L,[References (n=12)].[PEX13*],02-061.126370,2049,25246,1.21,1.8,1.22,0.39,Equal,Equal,0.12,68
167L,[References (n=12)].[COL3A1*],02-189.557818,2919,23146,1.12,1.57,1.15,0.36,Equal,Equal,-0.12,45
167L,[References (n=12)].[WHSC1*],04-001.902193,680,8420,0.49,0.72,0.5,1,Ambiguous,Ambiguous,-0.02,58
167L,[References (n=12)].[KLKB1*],04-187.390323,2632,20075,1.05,1.46,1.07,0.34,Equal,Equal,-0.14,48
167L,[References (n=12)].[IL4*],05-132.037607,2412,17300,0.97,1.34,0.99,0.3,Equal,Equal,-0.1,44
167L,[References (n=12)].[EYS*],06-065.588251,2376,22761,1.26,1.81,1.29,0.44,Equal,Equal,-0.14,60
167L,[References (n=12)].[SEC63*],06-108.321498,1648,18962,1.03,1.51,1.04,0.33,Equal,Equal,0.06,52
167L,[References (n=12)].[MTMR2*],11-095.238425,2459,20327,1.45,2.07,1.5,0.53,Ambiguous,Ambiguous,-0.08,46
167L,[References (n=12)].[MYH7*],14-022.972596,742,5634,0.33,0.46,0.34,0.11,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,-0.08,37
167L,[References (n=12)].[SPG11*],15-042.653071,621,7045,0.46,0.67,0.47,0.15,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.11,50
167L,[References (n=12)].[PLCG2*],16-080.537323,624,6558,0.37,0.54,0.38,0.13,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,-0.04,52
167L,[References (n=12)].[KCNJ6*],21-037.919589,1235,9364,0.6,0.82,0.61,0.22,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.13,48
167M,[01p (n=5)].[DVL1-1],01-001.274237,316,4140,0.42,0.43,0.42,0.2,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.05,47
167M,[01p (n=5)].[PRDM16-3],01-003.150503,0,0,0,0,0,0,<<<,<<<,0,0
167M,[01p (n=5)].[CHD5-2],01-006.150830,260,5816,0.57,0.7,0.58,0.27,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.7,56
167M,[01p (n=5)].[CAMTA1-18],01-007.727575,459,8664,0.57,0.66,0.58,0.24,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.14,54
167M,[01p (n=5)].[KIF1B-2],01-010.214967,1300,15194,1.06,1.12,1.09,0.45,Equal,Equal,0.45,41
167M,[03p (n=4)].[VHL-1],03-010.158544,306,5533,0.34,0.38,0.35,0.17,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.56,50
167M,[03p (n=4)].[VHL-2],03-010.163233,604,12899,0.88,1.03,0.9,0.37,Equal,Equal,-0.16,75
167M,[03p (n=4)].[FHIT-7],03-059.972109,1048,20249,1.75,1.97,1.79,0.76,Ambiguous,Ambiguous,0.84,78
167M,[03p (n=4)].[FHIT-4],03-060.782680,998,16818,1.24,1.43,1.27,0.56,Equal,Equal,0.75,57
167M,[05q (n=2)].[APC-12],05-112.182873,541,8678,0.85,0.96,0.87,0.36,Equal,Equal,1.01,58
167M,[05q (n=2)].[APC-18],05-112.206814,469,10301,1.08,1.31,1.09,1,Equal,Equal,-1.07,60
167M,[09p (n=3)].[CDKN2A-4],09-021.958641,314,6981,0.36,0.39,0.36,0.16,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.62,79
167M,[09p (n=3)].[CDKN2A-3],09-021.961213,483,5803,0.47,0.49,0.48,0.2,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.26,53
167M,[09p (n=3)].[CDKN2B-1],09-021.998809,202,4608,0.3,0.36,0.31,1,Ambiguous,Ambiguous,-1.58,61
167M,[09q (n=4)].[PTCH1-20],09-097.258441,347,6164,0.37,0.4,0.38,0.17,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,-0.01,53
167M,[09q (n=4)].[PTCH1-5],09-097.284232,1072,18841,1.64,1.85,1.68,0.73,Ambiguous,Ambiguous,1.02,86
167M,[09q (n=4)].[TSC1-18],09-134.767854,981,14041,0.7,0.8,0.72,1,Equal,Equal,1.05,56
167M,[09q (n=4)].[TSC1-1],09-134.809748,421,7664,0.45,0.49,0.46,0.21,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0.69,57
167M,[10q (n=3)].[PTEN-4],10-089.680713,1188,26361,1.91,2.21,1.95,0.85,Ambiguous,Ambiguous,0.43,86
167M,[10q (n=3)].[PTEN-5],10-089.682864,1136,24712,1.43,1.67,1.46,0.63,Ambiguous,Ambiguous,0.02,85
167M,[10q (n=3)].[PTEN-8],10-089.710865,879,21902,1.55,1.84,1.56,0.66,Ambiguous,Ambiguous,-0.45,72
167M,[11p (n=2)].[WT1-11],11-032.366613,566,12057,0.77,0.95,0.78,0.33,Equal,Equal,-0.7,54
167M,[11p (n=2)].[WT1-1],11-032.413841,0,0,0,0,0,0,<<<,<<<,0,0
167M,[13q (n=6)].[BRCA2-3],13-031.791351,1475,18990,1.38,1.47,1.41,0.6,Ambiguous,Ambiguous,0.59,60
167M,[13q (n=6)].[BRCA2-9],13-031.803112,1410,21167,1.14,1.25,1.17,0.49,Equal,Equal,0.94,65
167M,[13q (n=6)].[RB1-3],13-047.814761,1207,28365,1.57,1.93,1.59,0.67,Ambiguous,Ambiguous,-0.24,87
167M,[13q (n=6)].[RB1-25],13-047.948892,1223,24622,1.19,1.41,1.21,0.5,Equal,Equal,0.01,75
167M,[13q (n=6)].[MIR15A-1],13-049.521254,2937,36638,1.59,1.68,1.63,0.68,Ambiguous,Ambiguous,0.65,62
167M,[13q (n=6)].[DLEU1-2],13-049.576833,2495,25968,1.74,1.82,1.78,0.74,Ambiguous,Ambiguous,0.55,67
167M,[16p (n=3)].[TSC2-1],16-002.038612,714,7802,0.75,0.78,0.76,0.32,Equal,Equal,0.34,45
167M,[16p (n=3)].[TSC2-25],16-002.067648,0,0,0,0,0,0,<<<,<<<,0,0
167M,[16p (n=3)].[TSC2-38],16-002.076651,0,0,0,0,0,0,<<<,<<<,0,0
167M,[17p (n=3)].[TP53-10],17-007.514677,224,5291,0.41,0.5,0.42,1,Ambiguous,Ambiguous,-0.97,65
167M,[17p (n=3)].[TP53-4b],17-007.519217,401,8409,0.47,0.52,0.48,0.2,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.19,56
167M,[17p (n=3)].[TP53-1],17-007.531504,702,14003,0.74,0.84,0.77,0.36,Equal,Equal,0.71,80
167M,[17q (n=5)].[NF1-18],17-026.577746,601,13018,1.03,1.23,1.05,0.44,Equal,Equal,-0.83,71
167M,[17q (n=5)].[NF1-39],17-026.681489,1671,28357,1.65,1.81,1.69,0.72,Ambiguous,Ambiguous,0.8,83
167M,[17q (n=5)].[BRCA1-24],17-038.450829,734,18482,1.06,1.24,1.08,0.46,Equal,Equal,-0.83,73
167M,[17q (n=5)].[BRCA1-15],17-038.479889,1084,20399,0.92,1.05,0.94,0.42,Equal,Equal,0.75,68
167M,[17q (n=5)].[BRCA1-6],17-038.510430,1145,18642,1.61,1.74,1.66,0.7,Ambiguous,Ambiguous,0.33,68
167M,[18q (n=2)].[SMAD4-4],18-046.829678,1542,28730,1.7,1.96,1.74,0.77,Ambiguous,Ambiguous,0.59,69
167M,[18q (n=2)].[SMAD4-12],18-046.858705,500,12793,0.76,0.91,0.77,1,Equal,Equal,-1.14,78
167M,[19p (n=4)].[STK11-1],19-001.157954,412,6209,0.51,0.55,0.52,0.23,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0.3,60
167M,[19p (n=4)].[STK11-3],19-001.170331,225,3458,0.34,0.37,0.35,0.15,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.62,39
167M,[19p (n=4)].[FKBP8-9],19-018.503959,241,4545,0.36,0.4,0.37,0.17,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,0.68,61
167M,[19p (n=4)].[FKBP8-4],19-018.511130,354,5142,0.43,0.47,0.44,0.19,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.82,52
167M,[22q (n=2)].[SMARCB1-1],22-022.459352,361,6841,0.49,0.55,0.5,0.24,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0.35,45
167M,[22q (n=2)].[SMARCB1-9],22-022.506421,294,4665,0.42,0.44,0.43,0.18,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.07,49
167M,[Xq (n=2)].[AMER1-2],X-063.326842,0,0,0,0,0,0,<<<,<<<,0,0
167M,[Xq (n=2)].[AMER1-1],X-063.342134,202,2741,0.33,0.34,0.33,0.15,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.27,46
167M,[References (n=12)].[PEX13*],02-061.126370,909,25696,1.33,1.65,1.35,0.57,Ambiguous,Ambiguous,0.04,99
167M,[References (n=12)].[COL3A1*],02-189.557818,1111,17725,1,1.09,1.03,0.43,Equal,Equal,0.63,66
167M,[References (n=12)].[WHSC1*],04-001.902193,278,7597,0.49,0.59,0.5,1,Ambiguous,Ambiguous,-1.09,68
167M,[References (n=12)].[KLKB1*],04-187.390323,1221,17016,1.04,1.12,1.07,0.45,Equal,Equal,0.57,59
167M,[References (n=12)].[IL4*],05-132.037607,1282,14823,1,1.04,1.02,0.42,Equal,Equal,0.03,63
167M,[References (n=12)].[EYS*],06-065.588251,1472,25420,1.59,1.83,1.63,0.72,Ambiguous,Ambiguous,0.61,67
167M,[References (n=12)].[SEC63*],06-108.321498,787,20002,1.19,1.44,1.21,0.51,Equal,Equal,-0.2,82
167M,[References (n=12)].[MTMR2*],11-095.238425,1471,21136,1.73,1.94,1.79,0.81,Ambiguous,Ambiguous,1.26,59
167M,[References (n=12)].[MYH7*],14-022.972596,405,5598,0.39,0.41,0.4,0.17,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.52,46
167M,[References (n=12)].[SPG11*],15-042.653071,280,5962,0.43,0.51,0.44,0.19,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-1.07,59
167M,[References (n=12)].[PLCG2*],16-080.537323,424,8363,0.53,0.62,0.55,0.24,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.51,63
167M,[References (n=12)].[KCNJ6*],21-037.919589,622,7586,0.58,0.6,0.6,0.27,Ambiguous,Ambiguous,-0.01,62
179B,[01p (n=5)].[DVL1-1],01-001.274237,1017,10295,0.95,0.9,0.93,0.14,Equal,Equal,0.13,35
179B,[01p (n=5)].[PRDM16-3],01-003.150503,381,9731,0.89,0.89,0.89,0.13,Equal,Equal,-1.86,73
179B,[01p (n=5)].[CHD5-2],01-006.150830,252,7776,0.79,0.8,0.79,0.16,Equal,Equal,-1.32,76
179B,[01p (n=5)].[CAMTA1-18],01-007.727575,862,14902,0.98,0.96,0.98,0.1,Equal,Equal,0.25,62
179B,[01p (n=5)].[KIF1B-2],01-010.214967,1631,16187,1.05,1,1.06,0.17,Equal,Equal,0.44,36
179B,[03p (n=4)].[VHL-1],03-010.158544,971,16832,0.99,0.96,0.99,0.16,Equal,Equal,0.94,57
179B,[03p (n=4)].[VHL-2],03-010.163233,681,14356,0.98,0.97,0.98,0.11,Equal,Equal,0.04,65
179B,[03p (n=4)].[FHIT-7],03-059.972109,778,13356,1.12,1.09,1.13,0.21,Equal,Equal,1.43,53
179B,[03p (n=4)].[FHIT-4],03-060.782680,872,16659,1.21,1.19,1.22,0.25,Equal,Equal,1.52,58
179B,[05q (n=2)].[APC-12],05-112.182873,680,10797,1.03,1,1.04,0.13,Equal,Equal,1.9,61
179B,[05q (n=2)].[APC-18],05-112.206814,0,0,0,0,0,0,<<<,<<<,0,0
179B,[09p (n=3)].[CDKN2A-4],09-021.958641,1025,18765,0.91,0.87,0.91,0.11,Equal,Equal,-0.99,56
179B,[09p (n=3)].[CDKN2A-3],09-021.961213,1290,13322,1,0.95,0.99,0.1,Equal,Equal,0.44,61
179B,[09p (n=3)].[CDKN2B-1],09-021.998809,0,0,0,0,0,0,<<<,<<<,0,0
179B,[09q (n=4)].[PTCH1-20],09-097.258441,1186,18116,1.04,0.99,1.04,0.1,Equal,Equal,-0.03,56
179B,[09q (n=4)].[PTCH1-5],09-097.284232,824,13191,1.12,1.09,1.12,0.15,Equal,Equal,1.83,60
179B,[09q (n=4)].[TSC1-18],09-134.767854,0,0,0,0,0,0,<<<,<<<,0,0
179B,[09q (n=4)].[TSC1-1],09-134.809748,1013,17024,0.95,0.92,0.95,0.11,Equal,Equal,1.16,69
179B,[10q (n=3)].[PTEN-4],10-089.680713,830,16350,1.17,1.15,1.17,0.19,Equal,Equal,1.07,59
179B,[10q (n=3)].[PTEN-5],10-089.682864,1018,19825,1.14,1.12,1.14,0.17,Equal,Equal,0.42,61
179B,[10q (n=3)].[PTEN-8],10-089.710865,643,15474,1.11,1.1,1.1,0.22,Equal,Equal,-0.82,68
179B,[11p (n=2)].[WT1-11],11-032.366613,506,13114,0.87,0.88,0.86,0.14,Equal,Equal,-1.91,60
179B,[11p (n=2)].[WT1-1],11-032.413841,841,13701,0.94,0.91,0.94,0.12,Equal,Equal,0.94,77
179B,[13q (n=6)].[BRCA2-3],13-031.791351,1484,16528,1.12,1.07,1.13,0.18,Equal,Equal,0.76,30
179B,[13q (n=6)].[BRCA2-9],13-031.803112,1387,20963,1.08,1.04,1.09,0.17,Equal,Equal,1.24,87
179B,[13q (n=6)].[RB1-3],13-047.814761,652,17667,1.01,1.02,1,0.1,Equal,Equal,-1.19,75
179B,[13q (n=6)].[RB1-25],13-047.948892,988,20561,1,0.99,1,0.12,Equal,Equal,-0.02,71
179B,[13q (n=6)].[MIR15A-1],13-049.521254,2672,25992,1.05,1,1.05,0.13,Equal,Equal,0.88,49
179B,[13q (n=6)].[DLEU1-2],13-049.576833,1858,16554,1.03,0.98,1.04,0.19,Equal,Equal,0.88,58
179B,[16p (n=3)].[TSC2-1],16-002.038612,1240,10826,0.96,0.91,0.95,0.1,Equal,Equal,0.72,26
179B,[16p (n=3)].[TSC2-25],16-002.067648,512,10389,1.03,1.02,1.04,0.12,Equal,Equal,0.1,63
179B,[16p (n=3)].[TSC2-38],16-002.076651,800,15500,1.12,1.07,1.11,0.16,Equal,Equal,-0.6,45
179B,[17p (n=3)].[TP53-10],17-007.514677,0,0,0,0,0,0,<<<,<<<,0,0
179B,[17p (n=3)].[TP53-4b],17-007.519217,1014,18290,0.98,0.95,0.98,0.1,Equal,Equal,-0.17,50
179B,[17p (n=3)].[TP53-1],17-007.531504,1083,21536,1.11,1.08,1.11,0.15,Equal,Equal,1.64,81
179B,[17q (n=5)].[NF1-18],17-026.577746,548,13078,1.05,1.05,1.05,0.11,Equal,Equal,-1.72,74
179B,[17q (n=5)].[NF1-39],17-026.681489,1320,19388,1.07,1.04,1.08,0.13,Equal,Equal,1.24,63
179B,[17q (n=5)].[BRCA1-24],17-038.450829,759,17728,1.02,1,1.02,0.1,Equal,Equal,-1.15,71
179B,[17q (n=5)].[BRCA1-15],17-038.479889,1256,25428,1.12,1.1,1.12,0.14,Equal,Equal,1.5,64
179B,[17q (n=5)].[BRCA1-6],17-038.510430,1044,13679,1.12,1.07,1.13,0.18,Equal,Equal,0.56,47
179B,[18q (n=2)].[SMAD4-4],18-046.829678,1174,20126,1.17,1.15,1.18,0.18,Equal,Equal,1.48,69
