Sample,,Probe target info,Height,Area,Intra ratio,Pre ratio,Final ratio,Stdev,RefPop,SamPop,d(nt),Width
167C,[03p (n=4)].[VHL-1],03-010.158544,1013,12637,0.75,0.82,0.75,0.19,Equal,Equal,0.05,54
167C,[03p (n=4)].[VHL-2],03-010.163233,993,12774,0.87,0.97,0.87,0.14,Equal,Equal,-0.03,53
167C,[03p (n=4)].[FHIT-7],03-059.972109,1162,14313,1.2,1.31,1.2,0.21,Equal,Equal,0.08,54
167C,[03p (n=4)].[FHIT-4],03-060.782680,1220,13870,1,1.11,1,0.19,Equal,Equal,0.01,52
167C,[05q (n=2)].[APC-12],05-112.182873,903,9843,0.93,1.03,0.94,0.14,Equal,Equal,0.17,48
167C,[05q (n=2)].[APC-18],05-112.206814,815,10455,1.08,1.21,1.06,1,Equal,Equal,-0.19,53
167C,[09p (n=3)].[CDKN2A-4],09-021.958641,919,11857,0.57,0.62,0.57,0.11,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.26,62
167C,[09p (n=3)].[CDKN2A-3],09-021.961213,874,7864,0.59,0.63,0.58,0.09,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.09,50
167C,[09p (n=3)].[CDKN2B-1],09-021.998809,712,10021,0.64,0.71,0.64,1,Ambiguous,Ambiguous,-0.28,45
167C,[09q (n=4)].[PTCH1-20],09-097.258441,1731,18376,1.05,1.14,1.05,0.18,Equal,Equal,-0.04,69
167C,[09q (n=4)].[PTCH1-5],09-097.284232,1477,17141,1.44,1.59,1.45,0.24,Increased1StdDevAboveArbitraryBorder,Ambiguous,0.11,65
167C,[09q (n=4)].[TSC1-18],09-134.767854,2226,24096,1.12,1.24,1.14,1,Equal,Equal,0.18,61
167C,[09q (n=4)].[TSC1-1],09-134.809748,1718,20730,1.16,1.27,1.16,0.24,Equal,Equal,0.04,67
167C,[10q (n=3)].[PTEN-4],10-089.680713,1163,14438,1.03,1.14,1.03,0.18,Equal,Equal,0.01,59
167C,[10q (n=3)].[PTEN-5],10-089.682864,1310,16522,0.95,1.05,0.95,0.16,Equal,Equal,-0.12,47
167C,[10q (n=3)].[PTEN-8],10-089.710865,1173,15862,1.13,1.26,1.11,0.2,Equal,Equal,-0.08,68
167C,[11p (n=2)].[WT1-11],11-032.366613,1167,16985,1.13,1.27,1.12,0.23,Equal,Equal,-0.19,65
167C,[11p (n=2)].[WT1-1],11-032.413841,965,10963,0.75,0.82,0.76,0.17,Equal,Equal,-0.05,54
167C,[13q (n=6)].[BRCA2-3],13-031.791351,1485,13488,0.91,0.98,0.91,0.15,Equal,Equal,0.04,50
